seed,n_knapsacks,n_items,alpha,branching_rule,node_selection,best_solution,best_bound,runtime,depth,number_of_left_turns,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
1,2,5,0.95,kolasar_rule,breadth_first,21,21.0,0.00023603439331054688,3,1,4,True,2,21.0,0.0
1,2,5,0.97,critical_element,greatest_upper_bound,21,21.0,0.00011086463928222656,2,0,2,True,2,21.0,0.0
1,2,5,0.97,profit_per_weight_ratio,greatest_upper_bound,21,21.0,0.00011205673217773438,2,0,2,True,2,21.0,0.0
1,2,5,0.97,kolasar_rule,greatest_upper_bound,21,21.0,0.00023627281188964844,3,1,4,True,2,21.0,0.0
1,2,5,0.97,critical_element,depth_first,21,21.0,0.00010943412780761719,2,0,2,True,2,21.0,0.0
1,2,5,0.97,profit_per_weight_ratio,depth_first,21,21.0,0.00011157989501953125,2,0,2,True,2,21.0,0.0
1,2,5,0.97,kolasar_rule,depth_first,21,21.0,0.00023651123046875,3,1,4,True,2,21.0,0.0
1,2,5,0.97,critical_element,breadth_first,21,21.0,0.00011587142944335938,2,0,2,True,2,21.0,0.0
1,2,5,0.97,profit_per_weight_ratio,breadth_first,21,21.0,0.00011157989501953125,2,0,2,True,2,21.0,0.0
1,2,5,0.97,kolasar_rule,breadth_first,21,21.0,0.00023651123046875,3,1,4,True,2,21.0,0.0
2,2,5,0.5,critical_element,greatest_upper_bound,51,51.94736842105263,0.0002014636993408203,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.5,profit_per_weight_ratio,greatest_upper_bound,51,51.94736842105263,0.00019598007202148438,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.5,kolasar_rule,greatest_upper_bound,35.0,51.94736842105263,0.00022411346435546875,0,0,2,True,2,51.00000000000001,0.31372549019607854
2,2,5,0.5,critical_element,depth_first,51,51.94736842105263,0.0002067089080810547,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.5,profit_per_weight_ratio,depth_first,51,51.94736842105263,0.00020813941955566406,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.5,kolasar_rule,depth_first,35.0,51.94736842105263,0.0002357959747314453,0,0,2,True,2,51.00000000000001,0.31372549019607854
2,2,5,0.5,critical_element,breadth_first,51,51.94736842105263,0.0001983642578125,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.5,profit_per_weight_ratio,breadth_first,51,51.94736842105263,0.00019931793212890625,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.5,kolasar_rule,breadth_first,35.0,51.94736842105263,0.00022530555725097656,0,0,2,True,2,51.00000000000001,0.31372549019607854
2,2,5,0.8,critical_element,greatest_upper_bound,51,51.94736842105263,0.00019788742065429688,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.8,profit_per_weight_ratio,greatest_upper_bound,51,51.94736842105263,0.00019693374633789062,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.8,kolasar_rule,greatest_upper_bound,51,51.94736842105263,0.0003285408020019531,1,1,3,True,3,51.00000000000001,1.39322105051e-16
2,2,5,0.8,critical_element,depth_first,51,51.94736842105263,0.00019621849060058594,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.8,profit_per_weight_ratio,depth_first,51,51.94736842105263,0.0001990795135498047,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.8,kolasar_rule,depth_first,51,51.94736842105263,0.0005166530609130859,3,1,6,True,6,51.00000000000001,1.39322105051e-16
2,2,5,0.8,critical_element,breadth_first,51,51.94736842105263,0.00019669532775878906,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.8,profit_per_weight_ratio,breadth_first,51,51.94736842105263,0.00019812583923339844,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.8,kolasar_rule,breadth_first,51,51.94736842105263,0.00042724609375,1,1,4,True,4,51.00000000000001,1.39322105051e-16
2,2,5,0.95,critical_element,greatest_upper_bound,51,51.94736842105263,0.00019812583923339844,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.95,profit_per_weight_ratio,greatest_upper_bound,51,51.94736842105263,0.00019693374633789062,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.95,kolasar_rule,greatest_upper_bound,51,51.94736842105263,0.00031876564025878906,1,1,3,True,3,51.00000000000001,1.39322105051e-16
2,2,5,0.95,critical_element,depth_first,51,51.94736842105263,0.00019884109497070312,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.95,profit_per_weight_ratio,depth_first,51,51.94736842105263,0.0001976490020751953,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.95,kolasar_rule,depth_first,51,51.94736842105263,0.0005037784576416016,3,1,6,True,6,51.00000000000001,1.39322105051e-16
2,2,5,0.95,critical_element,breadth_first,51,51.94736842105263,0.00020384788513183594,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.95,profit_per_weight_ratio,breadth_first,51,51.94736842105263,0.0001995563507080078,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.95,kolasar_rule,breadth_first,51,51.94736842105263,0.00042366981506347656,1,1,4,True,4,51.00000000000001,1.39322105051e-16
2,2,5,0.97,critical_element,greatest_upper_bound,51,51.94736842105263,0.0001983642578125,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.97,profit_per_weight_ratio,greatest_upper_bound,51,51.94736842105263,0.0002090930938720703,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.97,kolasar_rule,greatest_upper_bound,51,51.94736842105263,0.0003116130828857422,1,1,3,True,3,51.00000000000001,1.39322105051e-16
2,2,5,0.97,critical_element,depth_first,51,51.94736842105263,0.00020360946655273438,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.97,profit_per_weight_ratio,depth_first,51,51.94736842105263,0.0001971721649169922,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.97,kolasar_rule,depth_first,51,51.94736842105263,0.0005018711090087891,3,1,6,True,6,51.00000000000001,1.39322105051e-16
2,2,5,0.97,critical_element,breadth_first,51,51.94736842105263,0.0002052783966064453,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.97,profit_per_weight_ratio,breadth_first,51,51.94736842105263,0.00020003318786621094,0,0,2,True,2,51.00000000000001,1.39322105051e-16
2,2,5,0.97,kolasar_rule,breadth_first,51,51.94736842105263,0.0004260540008544922,1,1,4,True,4,51.00000000000001,1.39322105051e-16
3,2,5,0.5,critical_element,greatest_upper_bound,22,25.2,0.00012755393981933594,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.5,profit_per_weight_ratio,greatest_upper_bound,22,25.2,0.00012612342834472656,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.5,kolasar_rule,greatest_upper_bound,22,28.545454545454547,0.00015592575073242188,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.5,critical_element,depth_first,22,25.2,0.00012540817260742188,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.5,profit_per_weight_ratio,depth_first,22,25.2,0.00012612342834472656,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.5,kolasar_rule,depth_first,22,28.545454545454547,0.00014710426330566406,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.5,critical_element,breadth_first,22,25.2,0.000125885009765625,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.5,profit_per_weight_ratio,breadth_first,22,25.2,0.0001251697540283203,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.5,kolasar_rule,breadth_first,22,28.545454545454547,0.00014925003051757812,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.8,critical_element,greatest_upper_bound,22,25.2,0.00012493133544921875,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.8,profit_per_weight_ratio,greatest_upper_bound,22,25.2,0.00013399124145507812,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.8,kolasar_rule,greatest_upper_bound,23,28.545454545454547,0.00022935867309570312,1,1,3,True,3,23.0,0.0
3,2,5,0.8,critical_element,depth_first,22,25.2,0.000125885009765625,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.8,profit_per_weight_ratio,depth_first,22,25.2,0.00012636184692382812,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.8,kolasar_rule,depth_first,23,28.545454545454547,0.0002372264862060547,1,1,3,True,3,23.0,0.0
3,2,5,0.8,critical_element,breadth_first,22,25.2,0.00012683868408203125,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.8,profit_per_weight_ratio,breadth_first,22,25.2,0.0001266002655029297,0,0,2,True,2,23.0,0.043478260869565216
3,2,5,0.8,kolasar_rule,breadth_first,23,28.545454545454547,0.00022912025451660156,1,1,3,True,3,23.0,0.0
3,2,5,0.95,critical_element,greatest_upper_bound,23.0,23.0,0.00019097328186035156,1,0,3,True,3,23.0,0.0
3,2,5,0.95,profit_per_weight_ratio,greatest_upper_bound,23.0,23.0,0.00019121170043945312,1,0,3,True,3,23.0,0.0
3,2,5,0.95,kolasar_rule,greatest_upper_bound,23,23.6,0.0003170967102050781,1,1,4,True,3,23.0,0.0
3,2,5,0.95,critical_element,depth_first,23.0,23.0,0.00018262863159179688,1,0,3,True,3,23.0,0.0
3,2,5,0.95,profit_per_weight_ratio,depth_first,23.0,23.0,0.0001838207244873047,1,0,3,True,3,23.0,0.0
3,2,5,0.95,kolasar_rule,depth_first,23,23.6,0.00036907196044921875,4,2,6,True,3,23.0,0.0
3,2,5,0.95,critical_element,breadth_first,23.0,23.0,0.00018215179443359375,1,0,3,True,3,23.0,0.0
3,2,5,0.95,profit_per_weight_ratio,breadth_first,23.0,23.0,0.00018310546875,1,0,3,True,3,23.0,0.0
3,2,5,0.95,kolasar_rule,breadth_first,23,23.6,0.0002989768981933594,1,1,4,True,3,23.0,0.0
3,2,5,0.97,critical_element,greatest_upper_bound,23.0,23.0,0.00018310546875,1,0,3,True,3,23.0,0.0
3,2,5,0.97,profit_per_weight_ratio,greatest_upper_bound,23.0,23.0,0.0001842975616455078,1,0,3,True,3,23.0,0.0
3,2,5,0.97,kolasar_rule,greatest_upper_bound,23,23.6,0.0003001689910888672,1,1,4,True,3,23.0,0.0
3,2,5,0.97,critical_element,depth_first,23.0,23.0,0.00019621849060058594,1,0,3,True,3,23.0,0.0
3,2,5,0.97,profit_per_weight_ratio,depth_first,23.0,23.0,0.0001881122589111328,1,0,3,True,3,23.0,0.0
3,2,5,0.97,kolasar_rule,depth_first,23,23.6,0.0003631114959716797,4,2,6,True,3,23.0,0.0
3,2,5,0.97,critical_element,breadth_first,23.0,23.0,0.0001838207244873047,1,0,3,True,3,23.0,0.0
3,2,5,0.97,profit_per_weight_ratio,breadth_first,23.0,23.0,0.0001857280731201172,1,0,3,True,3,23.0,0.0
3,2,5,0.97,kolasar_rule,breadth_first,23,23.6,0.0003006458282470703,1,1,4,True,3,23.0,0.0
4,2,5,0.5,critical_element,greatest_upper_bound,15,15.75,0.00017213821411132812,2,0,2,True,2,15.0,0.0
4,2,5,0.5,profit_per_weight_ratio,greatest_upper_bound,15,15.75,0.00016736984252929688,2,0,2,True,2,15.0,0.0
4,2,5,0.5,kolasar_rule,greatest_upper_bound,15,15.75,0.0001785755157470703,2,0,2,True,2,15.0,0.0
4,2,5,0.5,critical_element,depth_first,15,15.75,0.00016546249389648438,2,0,2,True,2,15.0,0.0
4,2,5,0.5,profit_per_weight_ratio,depth_first,15,15.75,0.0001659393310546875,2,0,2,True,2,15.0,0.0
4,2,5,0.5,kolasar_rule,depth_first,15,15.75,0.0001690387725830078,2,0,2,True,2,15.0,0.0
4,2,5,0.5,critical_element,breadth_first,15,15.75,0.00016641616821289062,2,0,2,True,2,15.0,0.0
4,2,5,0.5,profit_per_weight_ratio,breadth_first,15,15.75,0.00016689300537109375,2,0,2,True,2,15.0,0.0
4,2,5,0.5,kolasar_rule,breadth_first,15,15.75,0.0001766681671142578,2,0,2,True,2,15.0,0.0
4,2,5,0.8,critical_element,greatest_upper_bound,15,15.75,0.00016570091247558594,2,0,2,True,2,15.0,0.0
4,2,5,0.8,profit_per_weight_ratio,greatest_upper_bound,15,15.75,0.00016641616821289062,2,0,2,True,2,15.0,0.0
4,2,5,0.8,kolasar_rule,greatest_upper_bound,15,15.75,0.00016951560974121094,2,0,2,True,2,15.0,0.0
4,2,5,0.8,critical_element,depth_first,15,15.75,0.00016736984252929688,2,0,2,True,2,15.0,0.0
4,2,5,0.8,profit_per_weight_ratio,depth_first,15,15.75,0.0001761913299560547,2,0,2,True,2,15.0,0.0
