seed,n_machines,n_jobs,epsilon,branching_rule,node_selection,rounding_rule,lower_bound,best_solution,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
1,2,5,0.1,max_min_proc,lowest_lower_bound,best_matching,lin_relax,80,0.00480389595031738,0,2,True,2,80,0
1,2,5,0.1,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,80,0.00474858283996582,0,2,True,2,80,0
1,2,5,0.1,max_min_proc,lowest_lower_bound,best_matching,bin_search,81,0.0272748470306397,0,2,True,2,80,0.0123456790123457
1,2,5,0.1,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,81,0.0273706912994385,0,2,True,2,80,0.0123456790123457
1,2,5,0.1,max_min_proc,depth_first,best_matching,lin_relax,80,0.00479340553283691,0,2,True,2,80,0
1,2,5,0.1,max_min_proc,depth_first,all_to_shortest,lin_relax,80,0.0047605037689209,0,2,True,2,80,0
1,2,5,0.1,max_min_proc,depth_first,best_matching,bin_search,81,0.0273716449737549,0,2,True,2,80,0.0123456790123457
1,2,5,0.1,max_min_proc,depth_first,all_to_shortest,bin_search,81,0.0272045135498047,0,2,True,2,80,0.0123456790123457
1,2,5,0.1,max_min_proc,breadth_first,best_matching,lin_relax,80,0.00476288795471191,0,2,True,2,80,0
1,2,5,0.1,max_min_proc,breadth_first,all_to_shortest,lin_relax,80,0.00478601455688477,0,2,True,2,80,0
1,2,5,0.1,max_min_proc,breadth_first,best_matching,bin_search,81,0.027268648147583,0,2,True,2,80,0.0123456790123457
1,2,5,0.1,max_min_proc,breadth_first,all_to_shortest,bin_search,81,0.0273106098175049,0,2,True,2,80,0.0123456790123457
1,2,5,0.05,max_min_proc,lowest_lower_bound,best_matching,lin_relax,80,0.00479745864868164,0,2,True,2,80,0
1,2,5,0.05,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,80,0.00475621223449707,0,2,True,2,80,0
1,2,5,0.05,max_min_proc,lowest_lower_bound,best_matching,bin_search,81,0.0272846221923828,0,2,True,2,80,0.0123456790123457
1,2,5,0.05,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,81,0.0273981094360352,0,2,True,2,80,0.0123456790123457
1,2,5,0.05,max_min_proc,depth_first,best_matching,lin_relax,80,0.00478458404541016,0,2,True,2,80,0
1,2,5,0.05,max_min_proc,depth_first,all_to_shortest,lin_relax,80,0.00481629371643066,0,2,True,2,80,0
1,2,5,0.05,max_min_proc,depth_first,best_matching,bin_search,81,0.0273392200469971,0,2,True,2,80,0.0123456790123457
1,2,5,0.05,max_min_proc,depth_first,all_to_shortest,bin_search,81,0.0273964405059814,0,2,True,2,80,0.0123456790123457
1,2,5,0.05,max_min_proc,breadth_first,best_matching,lin_relax,80,0.00480508804321289,0,2,True,2,80,0
1,2,5,0.05,max_min_proc,breadth_first,all_to_shortest,lin_relax,80,0.00479221343994141,0,2,True,2,80,0
1,2,5,0.05,max_min_proc,breadth_first,best_matching,bin_search,81,0.0273387432098389,0,2,True,2,80,0.0123456790123457
1,2,5,0.05,max_min_proc,breadth_first,all_to_shortest,bin_search,81,0.0274279117584229,0,2,True,2,80,0.0123456790123457
1,2,5,0.01,max_min_proc,lowest_lower_bound,best_matching,lin_relax,80,0.0111682415008545,2,4,True,2,80,0
1,2,5,0.01,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,80,0.0110940933227539,2,4,True,2,80,0
1,2,5,0.01,max_min_proc,lowest_lower_bound,best_matching,bin_search,80,0.0575993061065674,2,4,True,4,80,0
1,2,5,0.01,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,80,0.0577695369720459,2,4,True,4,80,0
